Sun Apr 29 14:29:10 CEST 2012;5.973319514516194E-5;6.810088974733385E-5
Sun Apr 29 18:00:32 CEST 2012;1.1216999423421224E-4;0.011808358582998649
Sun Apr 29 19:23:32 CEST 2012;1.4788875150807695E-4;0.012191399338295415
Sun Apr 29 20:44:08 CEST 2012;5.946176702829997E-5;9.00769149630656E-5
Sun Apr 29 21:14:06 CEST 2012;5.877505243072509E-5;7.422551946182584E-5
Sun Apr 29 21:31:21 CEST 2012;5.8601069325764974E-5;7.392043994675364E-5
Mon Apr 30 18:18:08 CEST 2012;5.591707517903645E-5;8.532347069126852E-5
Mon Apr 30 20:08:06 CEST 2012;5.659377055511477E-5;7.17309479493856E-5
Mon May 07 23:14:22 CEST 2012;1.621794432907104E-5;3.4174191937718894E-5
Mon May 07 23:25:01 CEST 2012;1.5933590489196783E-5;4.470009435377466E-5
Tue May 08 21:29:15 CEST 2012;1.4938855098470049E-5;3.0149787589956962E-5
Wed Aug 01 11:06:30 CEST 2012;1.5429265590667722E-5;2.2890106050230195E-5
Wed Aug 01 12:48:33 CEST 2012;1.5725095958455404E-5;4.2157513573493184E-5
Sat Aug 04 20:36:34 CEST 2012;1.609275559514364E-5;4.038762128828381E-5
